element_type,osmid,created_by,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,barrier,amenity,email,fax,isced:level,name,operator,operator:type,phone,ref:educamadrid,short_name,website,school:language,wheelchair,wikidata,old_name,addr:unit,bus_routes,canteen,extended_hours,internet_access,school:type,start_date,denomination,language:fr,religion,alt_name,wikipedia,language:it,language:en,language:nl,language:ar,note,language:de,official_name,fixme,drink:club-mate,addr:housename,int_name,addr:country,name:es,shop,office,contact:email,contact:fax,contact:phone,description,fair_trade,image,source,name:en,opening_hours,education,material,contact:website,min_age,school,name:ja,nodes,name:etymology:wikidata,name:fr,ref:AEFE,fence_type,pedagogy,url,designation,height,grades,building,wall,community,community:en,community:fr,community:gender,nohousenumber,building:levels,toilets:wheelchair,wheelchair:description,construction,landuse,roof:levels,roof:shape,addr:milestone,addr:ref,check_date,building:name,language:ja,year_of_construction,level,building:use,disused,max_level,min_level,type,mobile,wikimedia_commons,addr:place,ways
node,266167459,,POINT (-3.7501124 40.4075213),,29,28011,Calle de Villavaliente,,school,cp.bolivia.madrid@educa.madrid.org,+34914649989,0;1,Colegio de Educación Infantil y Primaria Bolivia,Comunidad de Madrid,public,+34914649989,28005155,CEIP Bolivia,http://www.educa.madrid.org/cp.bolivia.madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167460,,POINT (-3.5981296 40.4472065),,12,28022,Avenida Séptima,,school,cp.ciudadpegaso.madrid@educa.madrid.org,+34917436218,0;1,Colegio de Educación Infantil y Primaria Ciudad Pegaso,Comunidad de Madrid,public,+34917412017,28005246,CEIP Ciudad Pegaso,http://www.educa.madrid.org/cp.ciudadpegaso.madrid,es;en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167469,,POINT (-3.7622051 40.3628619),,22,28025,Avenida de la Peseta,,school,cpee.mariasoriano.madrid@educa.madrid.org,+34914628444,,Colegio de Educación Especial María Soriano,Comunidad de Madrid,public,+34914624600;+34680472804,28005556,,http://www.educa.madrid.org/cpee.mariasoriano.madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167485,,POINT (-3.6508507 40.443436),,74,28027,Avenida de Badajoz,,school,cp.mejico.madrid@educa.madrid.org,+34914045880,0;1,Colegio de Educación Infantil y Primaria Méjico,Comunidad de Madrid,public,+34914035744,28005866,CEIP México,http://www.educa.madrid.org/cp.mejico.madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167487,,POINT (-3.7582251 40.3722376),,62,28044,Calle de Joaquín Turina,,school,cc.mariainmaculadacarabanchel.madrid@educa.madrid.org,+34917051461,0;1;2,"Centro Privado de Educación Infantil, Primaria y Secundaria Colegio Diocesano María Inmaculada - Joaquín Turina",,private,+34915092950;+34915093005,28005799,CPEIPS Colegio Diocesano María Inmaculada - Joaquín Turina,http://www.educa.madrid.org/cc.mariainmaculadacarabanchel.madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167518,,POINT (-3.7031018 40.4021177),,31,28005,Calle de las Peñuelas,,school,cp.saneugenio.madrid@educa.madrid.org,+34914737785,0;1,Colegio de Educación Infantil y Primaria San Eugenio y San Isidro,Comunidad de Madrid,public,+34914737711,28006275,CEIP San Eugenio y San Isidro,http://www.educa.madrid.org/cp.saneugenio.madrid,es;en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167526,,POINT (-3.7137738 40.3835352),,8,28026,Calle de Cerecinos,,school,cp.venezuela.madrid@educa.madrid.org,+34914695258,0;1,Colegio de Educación Infantil y Primaria República de Venezuela,Comunidad de Madrid,public,+34915698392,28006202,CEIP República de Venezuela,http://www.educa.madrid.org/cp.venezuela.madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167527,,POINT (-3.725068 40.3876001),,41,28019,Calle del Valle de Oro,,school,cp.ecuador.madrid@educa.madrid.org,+34914603284,,Colegio de Educación Infantil y Primaria República de Ecuador,Comunidad de Madrid,public,+34914603284;+34915600937,28006172,CEIP República de Ecuador,http://www.educa.madrid.org/cp.ecuador.madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167531,,POINT (-3.6871913 40.4423626),,127,28006,Calle de Serrano,,school,cp.ramirodemaeztu.madrid@educa.madrid.org,+34915647056,0;1,Colegio de Educación Infantil y Primaria Ramiro de Maeztu,Comunidad de Madrid,public,+34915616249,28006123,CEIP Ramiro de Maeztu,http://www.educa.madrid.org/cp.ramirodemaeztu.madrid,es;en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167536,,POINT (-3.7134168 40.4262288),Madrid,19,28008,Calle de la Princesa,,school,cc.mmconcepcionistas.madrid@educa.madrid.org,,0;1;2,"Centro Privado de Educación Infantil, Primaria y Secundaria Madres Concepcionistas",,private,+34915424901;+34915424908,28007103,CPEIPS Madres Concepcionistas,http://www.concepcionistasprincesa.es/,es;en,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
