element_type,osmid,amenity,check_date,created_by,name,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,fax,isced:level,old_name,phone,ref:educamadrid,short_name,operator:type,email,website,opening_hours,wheelchair,operator,language:de,contact:facebook,mobile,office,alt_name,description,source,source:date,addr:country,barrier,level,contact:phone,contact:website,nursery,wheelchair:description:es,language:en,wikidata,wikipedia,after_school,fee,preschool,max_age,min_age,building:use,nodes,building,fence_type,denomination,religion,school:language,name:etymology:wikidata,fence,height,language:fr,building:material,roof:height,roof:shape,building:levels,ways,type
node,151223420,kindergarten,2023-10-29,Potlatch 0.5d,Guardería Sancalo,POINT (-3.6897765 40.4851211),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167436,kindergarten,,,Escuela Infantil Manuel Siurot,POINT (-3.6628612 40.3935714),Madrid,3,28018,Plaza de Sierra Ministra,+34914787913,0,Colegio Público Batalla de Brunete,+34914787913,28005121,EEI Manuel Siurot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167443,kindergarten,,,Escuela Infantil Privada Cervantes Baby,POINT (-3.7300339 40.3842185),,20,28025,Calle del Avefría,,0,,+34914615068;+34679516414,28004291,EIPR Cervantes Baby,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167562,kindergarten,,,Escuela Infantil Privada Eipa Escuela Infantil Parque de las Avenidas,POINT (-3.6625525 40.4391175),,1,28028,Calle de Bristol,,0,,+34911167470;+34641461492,28006846,EIPR Eipa EEI Parque de las Avenidas,private,direccion@eipaeducacion.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167563,kindergarten,,,Centro Privado de Educación Infantil Comendadoras de Santiago,POINT (-3.7089933 40.4274181),,10,28015,Plaza de las Comendadoras,,0,,+34915481842;+34617865284;+34689591357,28007085,CPEI Comendadoras de Santiago,private,cc.comendadoras.madrid@educa.madrid.org,http://www.comendadoras-madrid.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167575,kindergarten,,,Centro Privado de Educación Infantil Reina de los Ángeles,POINT (-3.6857573 40.450838),,30,28002,Calle del Darro,,0,,+34915638760;+34609030368,28008818,CPEI Reina de los Ángeles,private,info@reinadelosangeles.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167593,kindergarten,,,Escuela Infantil Privada Nuestra Señora de los Dolores,POINT (-3.7060322 40.4308428),,99,28015,Calle de San Bernardo,,0,,+34914483426,28008259,EIPR Nuestra Señora de los Dolores,private,cc.nsdelosdolores.madrid@educa.madrid.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167608,kindergarten,,,Centro Privado de Educación Infantil Virgen de Begoña,POINT (-3.6885621 40.4870134),,48,28034,Calle de Ángel Múgica,+34917291840,0,,+34917291840;+34655907334,28009963,CPEI Virgen de Begoña,private,cc.virgendebegona.madrid@educa.madrid.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167623,kindergarten,,,Kindergarten La Salle,POINT (-3.6854407 40.4498579),,23,28002,Calle Alfonso Rodríguez Santamaría,+34915643166,0,,+34915635176,28008971,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167624,kindergarten,,,Escuela Infantil Privada San Roque,POINT (-3.7363478 40.3891325),,10,28025,Calle del Abolengo,,0,,+34914617109;+34687813248,28009434,EIPR San Roque,private,cc.sanroque.madrid@educa.madrid.org,http://www.escuelasanroque.es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167696,kindergarten,2023-05-19,,Escuela Infantil Privada Jardín Kinderland,POINT (-3.692985 40.4559471),,5,28020,Calle de San Germán,,0,,+34915552068,28012445,EIPR Jardín Kinderland,private,info@jardinkinderland.es,https://www.jardinkinderland.es/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,266167704,kindergarten,,,Hansel y Grethel,POINT (-3.6802667 40.4466061),,46,28002,Calle de Rodríguez Marín,+34915611389,0,,+34915634996,28012071,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
