,Secciones,Indicadores de renta media y mediana,Periodo,Total
91,"2800101001 Acebeda, La sección 01001",Renta neta media por hogar,2021,27.228
217,2800201001 Ajalvir sección 01001,Renta neta media por hogar,2021,43.101
259,2800201002 Ajalvir sección 01002,Renta neta media por hogar,2021,38.040
385,2800301001 Alameda del Valle sección 01001,Renta neta media por hogar,2021,31.144
511,"2800401001 Álamo, El sección 01001",Renta neta media por hogar,2021,30.566
553,"2800401002 Álamo, El sección 01002",Renta neta media por hogar,2021,32.706
595,"2800401003 Álamo, El sección 01003",Renta neta media por hogar,2021,31.420
637,"2800401004 Álamo, El sección 01004",Renta neta media por hogar,2021,36.072
763,2800501001 Alcalá de Henares sección 01001,Renta neta media por hogar,2021,36.982
805,2800501002 Alcalá de Henares sección 01002,Renta neta media por hogar,2021,36.582
847,2800501003 Alcalá de Henares sección 01003,Renta neta media por hogar,2021,36.938
889,2800501004 Alcalá de Henares sección 01004,Renta neta media por hogar,2021,37.069
931,2800501005 Alcalá de Henares sección 01005,Renta neta media por hogar,2021,44.405
973,2800501006 Alcalá de Henares sección 01006,Renta neta media por hogar,2021,37.945
1015,2800501007 Alcalá de Henares sección 01007,Renta neta media por hogar,2021,29.068
1057,2800501008 Alcalá de Henares sección 01008,Renta neta media por hogar,2021,26.315
1099,2800501009 Alcalá de Henares sección 01009,Renta neta media por hogar,2021,28.996
1141,2800501010 Alcalá de Henares sección 01010,Renta neta media por hogar,2021,36.000
1183,2800501011 Alcalá de Henares sección 01011,Renta neta media por hogar,2021,30.778
1225,2800501012 Alcalá de Henares sección 01012,Renta neta media por hogar,2021,36.120
1267,2800501013 Alcalá de Henares sección 01013,Renta neta media por hogar,2021,38.394
1309,2800501014 Alcalá de Henares sección 01014,Renta neta media por hogar,2021,43.209
1351,2800501015 Alcalá de Henares sección 01015,Renta neta media por hogar,2021,32.688
1393,2800501016 Alcalá de Henares sección 01016,Renta neta media por hogar,2021,30.793
1435,2800501017 Alcalá de Henares sección 01017,Renta neta media por hogar,2021,30.129
1477,2800501018 Alcalá de Henares sección 01018,Renta neta media por hogar,2021,27.800
1519,2800501020 Alcalá de Henares sección 01020,Renta neta media por hogar,2021,28.737
1561,2800501021 Alcalá de Henares sección 01021,Renta neta media por hogar,2021,41.572
1603,2800501022 Alcalá de Henares sección 01022,Renta neta media por hogar,2021,34.326
1645,2800501023 Alcalá de Henares sección 01023,Renta neta media por hogar,2021,43.968
1687,2800501024 Alcalá de Henares sección 01024,Renta neta media por hogar,2021,43.859
1771,2800502001 Alcalá de Henares sección 02001,Renta neta media por hogar,2021,26.817
1813,2800502002 Alcalá de Henares sección 02002,Renta neta media por hogar,2021,29.612
1855,2800502003 Alcalá de Henares sección 02003,Renta neta media por hogar,2021,30.233
1897,2800502004 Alcalá de Henares sección 02004,Renta neta media por hogar,2021,24.909
1939,2800502005 Alcalá de Henares sección 02005,Renta neta media por hogar,2021,24.714
1981,2800502006 Alcalá de Henares sección 02006,Renta neta media por hogar,2021,27.368
