element_type,osmid,barrier,name,geometry,source,created_by,access,addr:city,addr:street,wikidata,wikipedia,wheelchair,highway,source:date,source:name,alt_name,amenity,fee,layer,parking,addr:housenumber,addr:postcode,note,opening_hours,url,operator,leisure,natural,addr:country,website,description,check_date,height,historic,nodes,name:en,name:it,name:ko,name:pl,name:ru,old_name,name:etymology:wikidata,place,postal_code,surface,landuse,name:es,source:name:en,check_date:opening_hours,contact:phone,designation,name:1983-2016,fence_type,lit,addr:unit,loc_name,addr:housename,property,noname,building,area,name:2023-10-09-,internet_access,fixme,source:old_name,nohousenumber,smoothness,park,note:es,start_date,bench,source:geometry,source:geometry:date,ways,type,tourism,old_name:-2018,old_name:2018-2019,phone,name:ca,source:opening_hours,contact:facebook
node,1877642116,,Parque de la Arganzuela,POINT (-3.709052 40.3975231),,,,,,Q24021351,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3355218291,,Parque Estafeta,POINT (-3.6942495 40.3745717),,,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3692962588,,Microjardín Huerta del Bayo,POINT (-3.7053287 40.4080349),Oficina de Urbanismo Social,,,,,,,,,2015-08-09,,,,,,,,,Microjardín plantado en la acción #adoptaunalcorque de las @fiestaslavapies populares 2015.,,,,park,,,https://www.dropbox.com/sh/tckv0imq5wluo6r/AAAS5M-okJSiF3ao0P2mQ2i6a?dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3693009598,,00 Calle Doctor Fourquet Campana,POINT (-3.6980903 40.4073709),,,,,,,,,,,,,,,,,,,Microjardín plantado en la acción #adoptaunalcorque de las @fiestaslavapies populares 2015.,,,,park,,,https://www.dropbox.com/sh/xnptjsn1iq73vmm/AAAS3Hpt11LZ1GqRC7nTPhAQa?dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4056301456,,La Sanchita,POINT (-3.6963721 40.3901416),,,,,,,,,,,,,,,,,,,,,,,park,,,,Huerta Urbana de Arganzuela http://lasanchita.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4691907827,,,POINT (-3.6498363 40.4671495),,,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5531929912,,Zona para Cometas,POINT (-3.7280309 40.3758923),,,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5993843619,,Plaza mesa,POINT (-3.6897497 40.5116544),,,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6674223787,,,POINT (-3.6568394 40.451625),,,,,Plaza Anguiano,,,,,,,,,,,,2,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6698955194,,,POINT (-3.6805887 40.3561959),,,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8177460903,,Primer parking de El Pardo,POINT (-3.7592711 40.4966755),,,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
