element_type,osmid,name,shop,geometry,addr:housenumber,addr:street,addr:city,addr:postcode,brand,brand:wikidata,brand:wikipedia,check_date,contact:website,old_name,source,wheelchair,contact:phone,old_name_1,addr:country,email,phone,website,wheelchair:description,opening_hours,level,contact:facebook,name:es,ref,internet_access,operator,payment:app,payment:contactless,payment:credit_cards,payment:debit_cards,payment:mastercard,payment:visa,payment:visa_electron,survey:date,nodes,building,building:levels
node,1925037054,Joima,toys,POINT (-3.7115159 40.384884),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2133703313,Modelismo maquetas 113,toys,POINT (-3.7629334 40.3938217),32,Calle de Illescas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2269093755,Juguetería Lolita,toys,POINT (-3.649795 40.4752383),41,Avenida de la Virgen del Carmen,Madrid,28033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2339960743,Simpatía,toys,POINT (-3.7710006 40.3972395),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2441572300,Lego,toys,POINT (-3.6344722 40.4453972),,,,,Lego,Q1063455,en:The Lego Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2475037925,Dideco,toys,POINT (-3.7087729 40.4027131),,,,,,,,2023-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2568684641,Poli,toys,POINT (-3.7129951 40.344928),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2622900854,Imaginarium,toys,POINT (-3.7043087 40.4182479),15,Calle del Carmen,Madrid,28013,,,,,https://tienda.imaginarium.es/762582-juguetes-imaginarium-madrid-carmen,Quino's Pizza,survey,no,,,,,,,,,,,,,,,,,,,,,,,,,
node,2674522317,Poly,toys,POINT (-3.7085551 40.4217137),55,Gran Vía,Madrid,28013,,,,,https://jugueteriapoly.es/,40 Café,,,+34 91 053 63 32,Atresmedia Café,,,,,,,,,,,,,,,,,,,,,,,
node,2703977248,Mon Petit Retro,toys,POINT (-3.7038514 40.425534),28,Calle del Espíritu Santo,Madrid,28004,,,,2023-09-24,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,
